No.,Time,Delta,Source,Destination,Protocol,Length,Data Length,Source Port,Destination Port,Data,Info
480447,18933.19,0.1,::201:1:1:1,::222:22:22:22,UDP,116,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
480449,18933.22,0.03,::234:34:34:34,::201:1:1:1,UDP,59,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
480451,18933.34,0.12,::234:34:34:34,::201:1:1:1,UDP,59,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
480453,18933.49,0.15,::201:1:1:1,::221:21:21:21,UDP,115,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
480455,18933.5,0.01,::234:34:34:34,::201:1:1:1,UDP,51,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
480457,18933.51,0.01,::201:1:1:1,::221:21:21:21,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
480459,18933.62,0.11,::201:1:1:1,::221:21:21:21,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
480461,18933.72,0.1,::201:1:1:1,::221:21:21:21,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
480463,18933.8,0.08,::201:1:1:1,::221:21:21:21,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
480465,18933.88,0.08,::201:1:1:1,::221:21:21:21,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
480467,18934,0.12,::201:1:1:1,::234:34:34:34,UDP,115,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
480469,18934.01,0.01,::201:1:1:1,::221:21:21:21,UDP,116,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
480471,18934.02,0.01,::201:1:1:1,::234:34:34:34,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
480475,18934.13,0.11,::201:1:1:1,::234:34:34:34,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
480477,18934.23,0.1,::201:1:1:1,::234:34:34:34,UDP,116,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
480482,18934.58,0.35,::20d:d:d:d,::201:1:1:1,UDP,50,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
480484,18934.63,0.05,::239:39:39:39,::201:1:1:1,UDP,50,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
480486,18934.68,0.05,::20d:d:d:d,::201:1:1:1,UDP,59,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
480488,18934.75,0.07,::20d:d:d:d,::201:1:1:1,UDP,59,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
