No.,Time,Delta,Source,Destination,Protocol,Length,Data Length,Source Port,Destination Port,Data,Info
1104654,38134.01,0.02,::201:1:1:1,::234:34:34:34,UDP,115,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
1104657,38134.06,0.05,::201:1:1:1,::221:21:21:21,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
1104660,38134.09,0.03,::201:1:1:1,::221:21:21:21,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
1104664,38134.15,0.06,::201:1:1:1,::234:34:34:34,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
1104668,38134.18,0.03,::201:1:1:1,::234:34:34:34,UDP,115,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
1104669,38134.18,0,::201:1:1:1,::234:34:34:34,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
1104672,38134.19,0.01,::201:1:1:1,::221:21:21:21,UDP,116,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
1104674,38134.21,0.02,::201:1:1:1,::234:34:34:34,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
1104678,38134.23,0.02,::201:1:1:1,::221:21:21:21,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
1104682,38134.32,0.09,::201:1:1:1,::234:34:34:34,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
1104684,38134.34,0.02,::201:1:1:1,::234:34:34:34,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
1104686,38134.35,0.01,::201:1:1:1,::234:34:34:34,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
1104688,38134.36,0.01,::201:1:1:1,::221:21:21:21,UDP,116,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
1104691,38134.38,0.02,::201:1:1:1,::234:34:34:34,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
1104696,38134.46,0.08,::201:1:1:1,::234:34:34:34,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
1104699,38134.51,0.05,::201:1:1:1,::234:34:34:34,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
1104701,38134.56,0.05,::20d:d:d:d,::201:1:1:1,UDP,50,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
1104703,38134.58,0.02,::201:1:1:1,::234:34:34:34,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
1104705,38134.59,0.01,::239:39:39:39,::201:1:1:1,UDP,51,"6,2",8765,5678,�\234\223,8765  >  5678 Len=2
1104707,38134.63,0.04,::20d:d:d:d,::201:1:1:1,UDP,59,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
1104709,38134.63,0,::201:1:1:1,::234:34:34:34,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
1104718,38134.71,0.08,::201:1:1:1,::234:34:34:34,UDP,116,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
1104720,38134.72,0.01,::239:39:39:39,::201:1:1:1,UDP,60,"6,2",8765,5678,�\234\223,8765  >  5678 Len=2
1104722,38134.74,0.02,::20d:d:d:d,::201:1:1:1,UDP,51,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
1104724,38134.75,0.01,::201:1:1:1,::234:34:34:34,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
1104726,38134.84,0.09,::239:39:39:39,::201:1:1:1,UDP,60,"6,2",8765,5678,�\234\223,8765  >  5678 Len=2
1104728,38134.88,0.04,::239:39:39:39,::201:1:1:1,UDP,60,"6,2",8765,5678,�\234\223,8765  >  5678 Len=2
1104730,38134.88,0,::201:1:1:1,::234:34:34:34,UDP,116,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
1104740,38135.01,0.13,::239:39:39:39,::201:1:1:1,UDP,60,"6,2",8765,5678,�\234\223,8765  >  5678 Len=2
1104742,38135.03,0.02,::201:1:1:1,::20d:d:d:d,UDP,115,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
1104744,38135.05,0.02,::201:1:1:1,::20d:d:d:d,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
1104753,38135.15,0.1,::201:1:1:1,::20d:d:d:d,UDP,116,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
1104755,38135.17,0.02,::239:39:39:39,::201:1:1:1,UDP,60,"6,2",8765,5678,�\234\223,8765  >  5678 Len=2
1104757,38135.24,0.07,::239:39:39:39,::201:1:1:1,UDP,60,"6,2",8765,5678,�\234\223,8765  >  5678 Len=2
1104759,38135.31,0.07,::239:39:39:39,::201:1:1:1,UDP,60,"6,2",8765,5678,�\234\223,8765  >  5678 Len=2
1104769,38135.42,0.11,::239:39:39:39,::201:1:1:1,UDP,52,"6,2",8765,5678,�\234\223,8765  >  5678 Len=2
1104771,38135.54,0.12,::201:1:1:1,::239:39:39:39,UDP,115,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
