No.,Time,Delta,Source,Destination,Protocol,Length,Data Length,Source Port,Destination Port,Data,Info
100892,3511.56,0.04,::201:1:1:1,::211:11:11:11,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
100894,3511.57,0.01,::216:16:16:16,::201:1:1:1,UDP,60,"6,2",8765,5678,�\234\223,8765  >  5678 Len=2
100896,3511.6,0.03,::201:1:1:1,::211:11:11:11,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
100901,3511.67,0.07,::201:1:1:1,::211:11:11:11,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
100904,3511.7,0.03,::201:1:1:1,::211:11:11:11,UDP,116,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
100906,3511.74,0.04,::216:16:16:16,::201:1:1:1,UDP,60,"6,2",8765,5678,�\234\223,8765  >  5678 Len=2
100908,3511.75,0.01,::201:1:1:1,::211:11:11:11,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
100912,3511.84,0.09,::216:16:16:16,::201:1:1:1,UDP,60,"6,2",8765,5678,�\234\223,8765  >  5678 Len=2
100920,3511.9,0.06,::201:1:1:1,::211:11:11:11,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
100924,3511.94,0.04,::201:1:1:1,::211:11:11:11,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
100927,3511.96,0.02,::216:16:16:16,::201:1:1:1,UDP,60,"6,2",8765,5678,�\234\223,8765  >  5678 Len=2
100932,3512.01,0.05,::221:21:21:21,::201:1:1:1,UDP,51,"6,2",8765,5678,�\234\223,8765  >  5678 Len=2
100935,3512.04,0.03,::201:1:1:1,::211:11:11:11,UDP,116,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
100939,3512.11,0.07,::221:21:21:21,::201:1:1:1,UDP,60,"6,2",8765,5678,�\234\223,8765  >  5678 Len=2
100941,3512.12,0.01,::216:16:16:16,::201:1:1:1,UDP,52,"6,2",8765,5678,�\234\223,8765  >  5678 Len=2
100943,3512.23,0.11,::221:21:21:21,::201:1:1:1,UDP,60,"6,2",8765,5678,�\234\223,8765  >  5678 Len=2
100945,3512.39,0.16,::221:21:21:21,::201:1:1:1,UDP,60,"6,2",8765,5678,�\234\223,8765  >  5678 Len=2
100947,3512.45,0.06,::201:1:1:1,::216:16:16:16,UDP,115,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
100949,3512.47,0.02,::201:1:1:1,::216:16:16:16,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
100951,3512.52,0.05,::221:21:21:21,::201:1:1:1,UDP,60,"6,2",8765,5678,�\234\223,8765  >  5678 Len=2
100953,3512.58,0.06,::201:1:1:1,::216:16:16:16,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
100955,3512.61,0.03,::201:1:1:1,::216:16:16:16,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
100957,3512.62,0.01,::201:1:1:1,::216:16:16:16,UDP,115,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
100959,3512.64,0.02,::221:21:21:21,::201:1:1:1,UDP,60,"6,2",8765,5678,�\234\223,8765  >  5678 Len=2
100960,3512.64,0,::201:1:1:1,::216:16:16:16,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
100961,3512.75,0.11,::201:1:1:1,::216:16:16:16,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
100963,3512.81,0.06,::221:21:21:21,::201:1:1:1,UDP,60,"6,2",8765,5678,�\234\223,8765  >  5678 Len=2
100964,3512.81,0,::201:1:1:1,::216:16:16:16,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
100965,3512.91,0.1,::201:1:1:1,::216:16:16:16,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
100967,3512.96,0.05,::201:1:1:1,::216:16:16:16,UDP,116,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
100969,3512.98,0.02,::201:1:1:1,::216:16:16:16,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
100973,3513.07,0.09,::234:34:34:34,::201:1:1:1,UDP,50,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
100975,3513.09,0.02,::201:1:1:1,::216:16:16:16,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
100977,3513.12,0.03,::201:1:1:1,::216:16:16:16,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
100979,3513.15,0.03,::221:21:21:21,::201:1:1:1,UDP,60,"6,2",8765,5678,�\234\223,8765  >  5678 Len=2
100981,3513.2,0.05,::234:34:34:34,::201:1:1:1,UDP,59,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
100984,3513.26,0.06,::201:1:1:1,::216:16:16:16,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
100986,3513.31,0.05,::221:21:21:21,::201:1:1:1,UDP,52,"6,2",8765,5678,�\234\223,8765  >  5678 Len=2
100988,3513.32,0.01,::234:34:34:34,::201:1:1:1,UDP,59,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
100990,3513.42,0.1,::201:1:1:1,::216:16:16:16,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
100992,3513.47,0.05,::201:1:1:1,::221:21:21:21,UDP,115,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
100993,3513.47,0,::201:1:1:1,::216:16:16:16,UDP,116,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
100996,3513.48,0.01,::234:34:34:34,::201:1:1:1,UDP,51,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
100998,3513.49,0.01,::201:1:1:1,::221:21:21:21,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
101000,3513.6,0.11,::201:1:1:1,::221:21:21:21,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
